名前,CP名,誕生日,身長,絵文字,画像
Milk Pansa Vosbein,MilkLove,1996年7月31日,170 cm,緑のハート,milk.jpg
Love Pattranite Limpatiyakorn,MilkLove,2000年5月23日,156 cm,ピンクのキラキラハート,love.jpg
Namtan Tipnaree Weerawatnodom,NamtanFilm,1996年7月1日,169 cm,白のハート,namtan.jpg
Film Rachanun Mahawan,NamtanFilm,2000年7月14日,164 cm,包帯のハート,film.png
